customer_id,customer_name,segment,region,total_profit,total_sales,num_orders,avg_discount,total_quantity,first_order,last_order,profit_margin_%,avg_order_value,customer_lifespan_days,tenure_bucket
AA-10315,Alex Avila,Consumer,Central,-650.5971000000001,4780.552,2,0.13333333333333333,19,2013-03-04,2014-06-30,-13.61,2390.28,483,1-2yr
AA-10315,Alex Avila,Consumer,East,13.282599999999999,29.5,1,0.0,5,2011-09-15,2011-09-15,45.03,29.5,0,One-time
AA-10315,Alex Avila,Consumer,West,274.432,753.508,2,0.06666666666666667,6,2011-03-31,2012-10-04,36.42,376.75,553,1-2yr
AA-10375,Allen Armold,Consumer,Central,62.0658,178.37,1,0.0,5,2012-02-03,2012-02-03,34.8,178.37,0,One-time
AA-10375,Allen Armold,Consumer,East,68.9195,206.732,2,0.04,13,2014-09-08,2014-12-12,33.34,103.37,95,0-6mo
AA-10375,Allen Armold,Consumer,South,127.6256,598.48,2,0.05,11,2012-11-13,2013-11-15,21.32,299.24,367,1-2yr
AA-10375,Allen Armold,Consumer,West,18.7715,72.80799999999999,4,0.2,12,2011-04-21,2013-07-11,25.78,18.2,812,2yr+
AA-10480,Andrew Allen,Consumer,Central,420.4986,1747.5,2,0.0,31,2013-07-18,2013-08-27,24.06,873.75,40,0-6mo
AA-10480,Andrew Allen,Consumer,East,9.8856,27.46,1,0.0,2,2011-05-04,2011-05-04,36.0,27.46,0,One-time
AA-10480,Andrew Allen,Consumer,South,5.4432,15.552,1,0.2,3,2014-04-16,2014-04-16,35.0,15.55,0,One-time
AA-10645,Anna Andreadi,Consumer,Central,439.31379999999996,1971.46,1,0.0,12,2012-11-17,2012-11-17,22.28,1971.46,0,One-time
AA-10645,Anna Andreadi,Consumer,East,77.6417,1434.33,2,0.16666666666666666,18,2011-06-22,2011-12-01,5.41,717.16,162,0-6mo
AA-10645,Anna Andreadi,Consumer,South,79.0364,291.73999999999995,1,0.0,16,2013-09-05,2013-09-05,27.09,291.74,0,One-time
AA-10645,Anna Andreadi,Consumer,West,261.8114,1389.405,2,0.03,18,2013-07-05,2014-11-06,18.84,694.7,489,1-2yr
AB-10015,Aaron Bergman,Consumer,Central,114.3432,576.564,2,0.06666666666666667,6,2011-02-19,2013-11-11,19.83,288.28,996,2yr+
AB-10015,Aaron Bergman,Consumer,West,15.0033,309.592,1,0.06666666666666667,7,2011-03-07,2011-03-07,4.85,309.59,0,One-time
AB-10060,Adam Bellavance,Home Office,Central,115.5072,240.14999999999998,1,0.0,14,2014-11-06,2014-11-06,48.1,240.15,0,One-time
AB-10060,Adam Bellavance,Home Office,East,1468.7919,4487.352,3,0.08571428571428573,19,2013-08-30,2014-09-17,32.73,1495.78,383,1-2yr
AB-10060,Adam Bellavance,Home Office,South,106.5112,334.2,1,0.0,8,2013-03-14,2013-03-14,31.87,334.2,0,One-time
AB-10060,Adam Bellavance,Home Office,West,363.77819999999997,2693.9179999999997,3,0.04,15,2012-09-18,2014-11-07,13.5,897.97,780,2yr+
AB-10105,Adrian Barton,Consumer,Central,5362.6135,12181.594,5,0.2545454545454545,48,2011-12-20,2014-08-04,44.02,2436.32,958,2yr+
AB-10105,Adrian Barton,Consumer,East,5.898,117.96,1,0.0,2,2013-02-02,2013-02-02,5.0,117.96,0,One-time
AB-10105,Adrian Barton,Consumer,South,224.4492,843.84,1,0.0,8,2014-11-20,2014-11-20,26.6,843.84,0,One-time
AB-10105,Adrian Barton,Consumer,West,-148.15519999999998,1330.1770000000001,3,0.3333333333333333,15,2013-09-26,2014-09-20,-11.14,443.39,359,6-12mo
AB-10150,Aimee Bixby,Consumer,Central,12.9268,169.188,3,0.2333333333333333,17,2012-09-10,2014-11-20,7.64,56.4,801,2yr+
AB-10150,Aimee Bixby,Consumer,East,300.7329,797.522,2,0.03333333333333333,20,2011-03-05,2014-09-05,37.71,398.76,1280,2yr+
AB-10165,Alan Barnes,Consumer,Central,-1.0656,37.296,1,0.3,2,2011-11-16,2011-11-16,-2.86,37.3,0,One-time
AB-10165,Alan Barnes,Consumer,East,28.923000000000002,118.32,1,0.20000000000000004,9,2014-04-15,2014-04-15,24.44,118.32,0,One-time
AB-10165,Alan Barnes,Consumer,South,59.4355,163.96,1,0.2,5,2014-09-16,2014-09-16,36.25,163.96,0,One-time
AB-10165,Alan Barnes,Consumer,West,133.5201,794.2620000000001,5,0.08888888888888889,32,2012-03-28,2014-12-06,16.81,158.85,983,2yr+
AB-10255,Alejandro Ballentine,Home Office,Central,3.5742,13.616,1,0.2,2,2013-06-27,2013-06-27,26.25,13.62,0,One-time
AB-10255,Alejandro Ballentine,Home Office,East,36.0953,121.582,3,0.2,9,2012-05-08,2014-06-03,29.69,40.53,756,2yr+
AB-10255,Alejandro Ballentine,Home Office,South,14.3178,34.34,1,0.0,6,2013-12-21,2013-12-21,41.69,34.34,0,One-time
AB-10255,Alejandro Ballentine,Home Office,West,210.58020000000002,744.9939999999999,4,0.03333333333333333,22,2011-07-22,2014-07-18,28.27,186.25,1092,2yr+
AB-10600,Ann Blume,Corporate,Central,-23.892,14.48,1,0.8,5,2011-11-18,2011-11-18,-165.0,14.48,0,One-time
AB-10600,Ann Blume,Corporate,South,1.068,17.088,1,0.2,2,2012-11-30,2012-11-30,6.25,17.09,0,One-time
AB-10600,Ann Blume,Corporate,West,-252.13639999999998,1484.2939999999999,2,0.3333333333333333,31,2012-02-18,2014-11-11,-16.99,742.15,997,2yr+
AC-10420,Alyssa Crouse,Corporate,Central,-69.062,162.16,1,0.5,9,2014-05-13,2014-05-13,-42.59,162.16,0,One-time
AC-10420,Alyssa Crouse,Corporate,East,21.591,57.576,1,0.2,3,2013-02-23,2013-02-23,37.5,57.58,0,One-time
AC-10420,Alyssa Crouse,Corporate,West,-14.6632,706.064,1,0.2,5,2011-07-12,2011-07-12,-2.08,706.06,0,One-time
AC-10450,Amy Cox,Consumer,Central,843.1706,1793.98,1,0.0,2,2014-10-04,2014-10-04,47.0,1793.98,0,One-time
AC-10450,Amy Cox,Consumer,East,25.7148,70.212,1,0.1,14,2012-11-08,2012-11-08,36.62,70.21,0,One-time
AC-10450,Amy Cox,Consumer,South,32.3741,1701.358,3,0.275,14,2012-06-15,2014-12-20,1.9,567.12,918,2yr+
AC-10450,Amy Cox,Consumer,West,464.75030000000004,1962.296,2,0.2,13,2011-10-31,2013-11-25,23.68,981.15,756,2yr+
AC-10615,Ann Chong,Corporate,Central,0.9576,12.768,1,0.2,2,2014-03-25,2014-03-25,7.5,12.77,0,One-time
AC-10615,Ann Chong,Corporate,East,272.34770000000003,2444.558,3,0.10666666666666667,47,2012-09-15,2014-12-25,11.14,814.85,831,2yr+
AC-10615,Ann Chong,Corporate,West,25.522,80.36,1,0.1,10,2014-02-24,2014-02-24,31.76,80.36,0,One-time
AC-10660,Anna Chung,Consumer,Central,-16.1928,179.608,2,0.1,8,2013-09-23,2014-03-24,-9.02,89.8,182,6-12mo
AC-10660,Anna Chung,Consumer,East,-4.9704,191.34,1,0.25,4,2011-10-15,2011-10-15,-2.6,191.34,0,One-time
AC-10660,Anna Chung,Consumer,West,-7.537199999999999,286.368,2,0.2,4,2013-03-18,2013-06-28,-2.63,143.18,102,0-6mo
AD-10180,Alan Dominguez,Home Office,Central,-8.5794,600.558,1,0.3,3,2011-12-26,2011-12-26,-1.43,600.56,0,One-time
AD-10180,Alan Dominguez,Home Office,East,342.6169,1152.982,5,0.06666666666666667,20,2011-11-19,2014-12-02,29.72,230.6,1109,2yr+
AD-10180,Alan Dominguez,Home Office,West,1535.8919,4353.34,2,0.0,17,2014-01-23,2014-05-01,35.28,2176.67,98,0-6mo
AF-10870,Art Ferguson,Consumer,Central,-98.28410000000001,345.656,3,0.4600000000000001,13,2013-05-07,2014-11-20,-28.43,115.22,562,1-2yr
AF-10870,Art Ferguson,Consumer,East,356.8186,1562.086,1,0.049999999999999996,24,2013-05-23,2013-05-23,22.84,1562.09,0,One-time
AF-10870,Art Ferguson,Consumer,South,14.872,47.328,1,0.2,2,2014-11-19,2014-11-19,31.42,47.33,0,One-time
AF-10870,Art Ferguson,Consumer,West,44.5647,97.838,2,0.06666666666666667,12,2012-12-06,2013-04-24,45.55,48.92,139,0-6mo
AF-10885,Art Foster,Consumer,East,-264.30289999999997,489.905,3,0.36,27,2011-05-10,2013-11-11,-53.95,163.3,916,2yr+
AF-10885,Art Foster,Consumer,South,101.18539999999999,371.65999999999997,1,0.0,10,2012-10-13,2012-10-13,27.23,371.66,0,One-time
AG-10270,Alejandro Grove,Consumer,Central,696.2947,2374.73,1,0.0,46,2013-09-14,2013-09-14,29.32,2374.73,0,One-time
AG-10270,Alejandro Grove,Consumer,East,26.455199999999998,152.668,3,0.06666666666666667,10,2011-07-23,2014-03-28,17.33,50.89,979,2yr+
AG-10270,Alejandro Grove,Consumer,West,9.99,55.5,1,0.0,2,2011-05-13,2011-05-13,18.0,55.5,0,One-time
AG-10300,Aleksandra Gannaway,Corporate,East,20.485,81.94,1,0.0,1,2013-12-06,2013-12-06,25.0,81.94,0,One-time
AG-10300,Aleksandra Gannaway,Corporate,West,38.803399999999996,285.608,3,0.1,15,2011-04-26,2014-09-04,13.59,95.2,1227,2yr+
AG-10330,Alex Grayson,Consumer,Central,87.5615,356.95000000000005,2,0.24,30,2013-08-04,2014-12-23,24.53,178.48,506,1-2yr
AG-10330,Alex Grayson,Consumer,South,1.4256,12.672,1,0.2,9,2014-12-19,2014-12-19,11.25,12.67,0,One-time
AG-10330,Alex Grayson,Consumer,West,-94.1242,291.35,2,0.2333333333333333,8,2014-12-11,2014-12-23,-32.31,145.68,12,0-6mo
AG-10390,Allen Goldenen,Consumer,East,-0.3498000000000001,47.150999999999996,2,0.39999999999999997,13,2011-09-03,2013-11-21,-0.74,23.58,810,2yr+
AG-10390,Allen Goldenen,Consumer,South,61.32899999999999,134.034,2,0.06666666666666667,16,2011-04-19,2013-12-02,45.76,67.02,958,2yr+
AG-10390,Allen Goldenen,Consumer,West,8.2992,19.76,1,0.0,4,2014-09-08,2014-09-08,42.0,19.76,0,One-time
AG-10495,Andrew Gjertsen,Corporate,Central,103.52019999999999,915.4590000000001,2,0.16,21,2012-10-24,2012-11-11,11.31,457.73,18,0-6mo
