customer_id,customer_name,segment,profit,sales,order_id,discount,quantity,profit_margin_%
AA-10315,Alex Avila,Consumer,-362.8825,5563.56,5,0.09090909090909091,30,-6.52
AA-10375,Allen Armold,Consumer,277.3824,1056.39,9,0.08000000000000002,41,26.26
AA-10480,Andrew Allen,Consumer,435.8274,1790.5120000000002,4,0.016666666666666666,36,24.34
AA-10645,Anna Andreadi,Consumer,857.8033,5086.9349999999995,6,0.06388888888888888,64,16.86
AB-10015,Aaron Bergman,Consumer,129.3465,886.156,3,0.06666666666666667,13,14.6
AB-10060,Adam Bellavance,Home Office,2054.5885,7755.62,8,0.044444444444444446,56,26.49
AB-10105,Adrian Barton,Consumer,5444.8055,14473.570999999998,10,0.24,73,37.62
AB-10150,Aimee Bixby,Consumer,313.6597,966.71,5,0.13333333333333333,37,32.45
AB-10165,Alan Barnes,Consumer,220.813,1113.838,8,0.13571428571428573,48,19.82
AB-10255,Alejandro Ballentine,Home Office,264.5675,914.5319999999999,9,0.1,39,28.93
AB-10600,Ann Blume,Corporate,-274.9604,1515.862,4,0.375,38,-18.14
AC-10420,Alyssa Crouse,Corporate,-62.1342,925.8,3,0.32,17,-6.71
AC-10450,Amy Cox,Consumer,1366.0098,5527.846,7,0.18888888888888888,43,24.71
AC-10615,Ann Chong,Corporate,298.8273,2537.6859999999997,5,0.1111111111111111,59,11.78
AC-10660,Anna Chung,Consumer,-28.700399999999995,657.316,5,0.18333333333333335,16,-4.37
AD-10180,Alan Dominguez,Home Office,1869.9294,6106.88,8,0.05833333333333333,40,30.62
AF-10870,Art Ferguson,Consumer,317.9712,2052.908,7,0.2,51,15.49
AF-10885,Art Foster,Consumer,-163.1175,861.565,4,0.2571428571428572,37,-18.93
AG-10270,Alejandro Grove,Consumer,732.7399,2582.898,5,0.014285714285714287,58,28.37
AG-10300,Aleksandra Gannaway,Corporate,59.288399999999996,367.548,4,0.08,16,16.13
AG-10330,Alex Grayson,Consumer,-5.137100000000006,660.972,5,0.23333333333333334,47,-0.78
AG-10390,Allen Goldenen,Consumer,69.2784,200.945,5,0.22499999999999998,33,34.48
